time,open,high,low,close,tick_volume
2025.10.27 19:00,3999.338,4005.656,3985.575,3990.129,22719
2025.10.27 18:00,4006.419,4010.147,3997.793,3999.308,17926
2025.10.27 17:00,3999.255,4008.887,3990.771,4006.472,21323
2025.10.27 16:00,3990.039,4000.444,3983.978,3999.159,22326
2025.10.27 15:00,3987.927,3993.532,3971.348,3989.93,44519
2025.10.27 14:00,4022.04,4023.383,3982.877,3987.902,68967
2025.10.27 13:00,4045.564,4050.275,4013.181,4022.017,49174
2025.10.27 12:00,4023.971,4046.553,4022.293,4045.514,27700
2025.10.27 11:00,4037.407,4041.376,4015.427,4023.923,28587
2025.10.27 10:00,4039.716,4047.826,4028.795,4037.364,20743
2025.10.27 09:00,4043.408,4050.274,4030.104,4039.737,31106
2025.10.27 08:00,4068.588,4070.548,4023.351,4043.306,28189
2025.10.27 07:00,4078.287,4079.997,4064.017,4068.619,14954
2025.10.27 06:00,4079.522,4084.782,4073.829,4078.286,17450
2025.10.27 05:00,4068.8,4084.569,4068.582,4079.552,14937
2025.10.27 04:00,4069.523,4071.856,4053.805,4068.752,17750
2025.10.27 03:00,4071.558,4081.909,4065.319,4069.559,14257
2025.10.27 02:00,4081.755,4082.086,4070.098,4071.586,18774
2025.10.27 01:00,4081.368,4097.781,4075.056,4081.734,30618
2025.10.27 00:00,4064.532,4084.199,4058.108,4081.343,21230
2025.10.26 23:00,4081.764,4088.452,4061.912,4064.458,22367
2025.10.26 22:00,4083.572,4109.193,4071.68,4081.724,27817
2025.10.24 20:00,4104.036,4114.062,4096.254,4113.082,9813
2025.10.24 19:00,4110.278,4117.407,4102.2,4103.999,15590
2025.10.24 18:00,4107.585,4113.615,4101.801,4110.312,20442
2025.10.24 17:00,4129.267,4134.373,4105.67,4107.531,23763
2025.10.24 16:00,4130.419,4138.594,4121.643,4129.162,22598
2025.10.24 15:00,4117.339,4131.922,4113.214,4130.347,28661
2025.10.24 14:00,4106.682,4135.165,4102.186,4117.364,45440
2025.10.24 13:00,4082.026,4122.324,4079.085,4106.845,61786
2025.10.24 12:00,4061.371,4093.731,4059.819,4081.987,37751
2025.10.24 11:00,4054.814,4065.572,4043.978,4061.284,21652
2025.10.24 10:00,4060.728,4070.902,4053.48,4054.84,15787
2025.10.24 09:00,4065.299,4073.618,4054.394,4060.753,19972
2025.10.24 08:00,4074.376,4077.914,4047.503,4065.337,32246
2025.10.24 07:00,4092.149,4095.987,4069.547,4074.245,24472
2025.10.24 06:00,4104.58,4104.856,4081.417,4092.262,28332
2025.10.24 05:00,4111.774,4117.981,4102.902,4104.65,14163
2025.10.24 04:00,4122.262,4123.316,4102.818,4111.724,14755
2025.10.24 03:00,4109.741,4123.507,4107.556,4122.38,12765
2025.10.24 02:00,4118.87,4119.084,4109.384,4109.614,18759
2025.10.24 01:00,4132.579,4144.297,4112.151,4118.823,27023
2025.10.24 00:00,4121.728,4133.713,4117.975,4132.564,14713
2025.10.23 23:00,4116.129,4122.968,4105.812,4121.703,9866
2025.10.23 22:00,4131.889,4131.923,4111.301,4116.133,10804
2025.10.23 20:00,4118.333,4125.967,4107.377,4125.56,12862
2025.10.23 19:00,4136.016,4138.225,4116.426,4118.289,17616
2025.10.23 18:00,4137.661,4143.464,4133.143,4135.982,13494
2025.10.23 17:00,4132.976,4139.254,4124.747,4137.659,20300
2025.10.23 16:00,4141.816,4148.643,4125.523,4133.022,22073
2025.10.23 15:00,4148.258,4151.888,4137.135,4141.845,23990
2025.10.23 14:00,4144.905,4154.684,4136.026,4148.231,36726
2025.10.23 13:00,4127.216,4151.129,4125.759,4144.946,46460
2025.10.23 12:00,4109.581,4129.402,4100.14,4127.175,26129
2025.10.23 11:00,4108.879,4121.031,4107.654,4109.614,23620
2025.10.23 10:00,4124.456,4125.235,4101.765,4108.833,24827
2025.10.23 09:00,4116.178,4125.478,4111.167,4124.415,19523
2025.10.23 08:00,4094.292,4119.027,4094.292,4116.135,25394
2025.10.23 07:00,4113.628,4121.242,4091.781,4094.256,29961
2025.10.23 06:00,4110.224,4137.712,4110.089,4113.599,39639
2025.10.23 05:00,4089.675,4110.517,4083.866,4110.266,18375
2025.10.23 04:00,4091.195,4093.025,4079.656,4089.702,12143
2025.10.23 03:00,4082.506,4100.724,4077.717,4091.173,16763
2025.10.23 02:00,4073.322,4085.463,4072.204,4082.552,20076
2025.10.23 01:00,4081.822,4092.792,4071.81,4073.297,30943
2025.10.23 00:00,4087.639,4096.871,4065.984,4081.794,33209
2025.10.22 23:00,4102.076,4104.782,4080.517,4087.735,20541
2025.10.22 22:00,4106.302,4116.475,4092.238,4102.071,19481
2025.10.22 20:00,4102.333,4107.299,4088.435,4098.347,15215
2025.10.22 19:00,4076.707,4113.632,4076.544,4102.378,31731
2025.10.22 18:00,4070.023,4081.545,4066.559,4076.727,20342
2025.10.22 17:00,4059.185,4071.16,4043.944,4069.951,41142
2025.10.22 16:00,4037.043,4064.215,4023.211,4059.221,50044
2025.10.22 15:00,4014.994,4047.356,4014.775,4037.089,52341
2025.10.22 14:00,4075.9,4078.403,4010.988,4015.041,66680
2025.10.22 13:00,4033.885,4085.272,4033.417,4075.941,69994
2025.10.22 12:00,4027.805,4053.495,4023.049,4033.777,51719
2025.10.22 11:00,4035.093,4045.103,4015.07,4027.778,57820
2025.10.22 10:00,4069.522,4090.878,4023.765,4035.14,46362
2025.10.22 09:00,4070.588,4101.828,4061.553,4069.586,48854
2025.10.22 08:00,4132.863,4135.863,4058.479,4070.637,74481
2025.10.22 07:00,4155.656,4156.421,4129.293,4132.901,38769
2025.10.22 06:00,4135.068,4161.36,4127.752,4155.691,24310
2025.10.22 05:00,4128.21,4147.036,4126.424,4135.118,23322
